,,PLOT 1,,,PLOT 2,,,PLOT 3,,,PLOT 4,,,PLOT 5,,,,,,,
Horodateur,Are you in a hurry?,What is your first impression after reading this plot?,Is there something that you find risky in this plot?,"In general, if you had to rate this specific plot out of five, what note would you put?",What is your first impression after reading this plot?,Is there something that you find risky in this plot?,"In general, if you had to rate this specific plot out of five, what note would you put?",What is your first impression after reading this plot?,Is there something that you find risky in this plot?,"In general, if you had to rate this specific plot out of five, what note would you put?",What is your first impression after reading this plot?,Is there something that you find risky in this plot?,"In general, if you had to rate this specific plot out of five, what note would you put?",What is your first impression after reading this plot?,Is there something that you find risky in this plot?,"In general, if you had to rate this specific plot out of five, what note would you put?",In what order will you rank the following plots? [First choice],In what order will you rank the following plots? [Second choice],In what order will you rank the following plots? [Third choice],In what order will you rank the following plots? [Fourth choice],In what order will you rank the following plots? [Fifth choice]
1/12/2021 23:53:42,Yes,,,,,,,,,,,,,,,,Medieval Fantasy (1),Vestiges (4),Anticiption (5),Steampunk / Anticipation (3),Alternate Universe (2)
1/13/2021 9:02:06,No,"I like it, but I'm unsure what ""chosen by your tribute"" means","I would change ""onto the ground"" to ""in the ground"" maybe to fit with dungeons specifically better? it would allow more underground stuff perhaps",4,"I really like this one, because it is very simple but has enough room for lore and things (the reason the tunnels are closed)","We must be careful that the mystery about the tunnels is good, and also that it's still fun after you find out what it is",5,I like this one,It might be odd to use medieval-to-rennaisance style weapons in this setting,4,I really like this one as well,"This one has a much more serious risk of finding out the cause of the monsters leading to the game ""ending"". Also, dropping a crystal might seem a little inconsequential but the concept is not bad, so it would just need to be ""dressed up"" in the storytelling appropriately",4,I like this plot - similar to the ancient plot but it gives the monsters more agency and makes them active and not reactive almost,We must just be careful to involve the right amount of fantasy in the archaeology otherwise some may become bored,5,Vestiges (4),Alternate Universe (2),Anticiption (5),Medieval Fantasy (1),Steampunk / Anticipation (3)
1/13/2021 13:14:05,No,It bores me. Its just a stereotypical dungeon.,It wont be fun. Not interesting.,1,Sounds interesting.,"No, although it may be tricky to expand on.",4,Sounds like a netflix adaption.,"Sounds cool, but how do you expand it?",3,Bit Vauge,"""Oops! I dropped a crystal. Everyones gonna die!""",1,Interesting.,"It would need to fufil itself, a shocking ending.",4,Alternate Universe (2),Steampunk / Anticipation (3),Medieval Fantasy (1),Vestiges (4),Invasion (5)
1/13/2021 17:08:23,No,"It feels interesting, but the ""chosen by your tribute"" doesn't sound good, it should be voluntary",The plot feels a little contrived,3,"It sounds interesting, but there should be some mention of monsters I think",There is not much of a threat in this plot,4,Steampunk doesn't fit dungeons at all imo,The plot won't be immersive because of Minecraft's medieval theme,2,The dropping the crystal part isn't interesting to me,The plot seems a bit contrived and cliche,,"Seems interesting, but needs more details","It focuses too much on archeology, doesn't fit well with gameplay",3,Invasion (5),Medieval Fantasy (1),Alternate Universe (2),Vestiges (4),Steampunk / Anticipation (3)
1/13/2021 17:16:01,No,"While this idea is good, it's relatively common.","It's how to stay on the safe side, with things we already know.",3,"Could be really fun to do, and goes well with the actual dungeon generation.","It can quickly be boring, and the end can be lame.",3,It's the one I prefer,Some additional time will have to be spent to actually make the lore better.,5,"It's a little bit out of the usual theme, but still attaches to it.","The end will be extremely difficult to have, like MC Dungeons.",2,"Quite good actually, but will need some better description than that.","For maximal immersio, having cutscenes may be neede, and that's not really easy to do.",4,Steampunk / Anticipation (3),Invasion (5),Alternate Universe (2),Vestiges (4),Medieval Fantasy (1)
1/13/2021 17:18:47,Yes,,,,,,,,,,,,,,,,Medieval Fantasy (1),Vestiges (4),Invasion (5),Alternate Universe (2),Steampunk / Anticipation (3)
1/13/2021 17:19:52,No,"Generic, but it works","Nothing, it's classical one, but without any twist it will be boring",2,Sounds interesting,,4,"It can continue nicely, sounds good",,4,It's okay,,3,Doesn't sound like much,Might be less creative,3,Steampunk / Anticipation (3),Alternate Universe (2),Vestiges (4),Invasion (5),Medieval Fantasy (1)
1/13/2021 17:22:17,No,"Doesn't really explain the dungeons aspect of it, are you going into the portals or do the portals create the dungeons around them?",,4,"I like stories anchored in an alternate reality Earth, so this plays to my tastes well.",,5,"Another good one grounded in some sort of reality,","This one would probably require more detail put into the levels, as it's the surface and not inside a cave.",4,This is probably one of my favorite kinds of alternate universe plots.,There would probably have to be a more intricate magic system put into place.,5,"""Due to unknown reasons"" is not really enticing for me.","While it leaves a lot for interpretation, that is also a bad thing.",3,Vestiges (4),Alternate Universe (2),Medieval Fantasy (1),Steampunk / Anticipation (3),Invasion (5)
1/13/2021 17:26:12,No,Seems like it's been done before.,This plot probably wouldn't be able to extend into a lengthy story,3,"Sounds interesting, I like it.",,4,"Could be good, if done right.",,4,Don't personally like it,This plot doesn't interest me.,2,Doesn't seem very good.,This plot can quickly become boring.,1,Steampunk / Anticipation (3),Alternate Universe (2),Vestiges (4),Medieval Fantasy (1),Invasion (5)
